t,steering_angle,speed
13.778,0.0,4.0
13.811,0.0,4.0
13.845,0.0,4.0
13.878,0.0,4.0
13.911,0.0,4.0
13.945,0.0,4.0
13.978,0.0,4.0
14.011,0.0,4.0
14.045,0.0,4.0
14.078,0.0,4.0
14.111,0.0,4.0
14.145,0.0,4.0
14.178,0.0,4.0
14.211,0.0,4.0
14.245,0.0,4.0
14.278,0.0,4.0
14.311,0.0,4.0
14.345,0.0,4.0
14.378,0.0,4.0
14.411,0.0,4.0
14.445,0.0,4.0
14.478,0.0,4.0
14.511,0.0,4.0
14.545,0.0,4.0
14.578,0.0,4.0
14.611,0.0,4.0
14.645,0.0,4.0
14.678,0.0,4.0
14.711,0.0,4.0
14.745,0.0,4.0
14.778,0.0,4.0
14.811,0.0,4.0
14.845,0.0,4.0
14.878,0.0,4.0
14.911,0.0,4.0
14.945,0.0,4.0
14.978,0.0,4.0
15.011,0.0,4.0
15.045,0.0,4.0
15.078,0.0,4.0
15.111,0.0,4.0
15.145,0.0,4.0
15.178,0.0,4.0
15.211,0.0,4.0
15.245,0.0,4.0
15.278,0.0,4.0
15.311,0.0,4.0
15.345,0.0,4.0
15.378,0.0,4.0
15.411,0.0,4.0
15.445,0.0,4.0
15.478,0.0,4.0
15.511,0.0,4.0
15.545,0.0,4.0
15.578,0.0,4.0
15.611,0.0,4.0
15.645,0.0,4.0
15.678,0.0,4.0
15.711,0.0,4.0
15.745,0.0,4.0
15.778,0.0,4.0
15.811,0.0,4.0
15.845,0.0,4.0
15.878,0.0,4.0
15.911,0.0,4.0
15.945,0.0,4.0
15.978,0.0,4.0
16.011,0.0,4.0
16.045,0.0,4.0
16.078,0.0,4.0
16.111,0.0,4.0
16.145,0.0,4.0
16.178,0.0,4.0
16.211,0.0,4.0
16.245,0.0,4.0
16.278,0.0,4.0
16.311,0.0,4.0
16.345,0.0,4.0
16.378,0.0,4.0
16.411,0.0,4.0
16.445,0.0,4.0
16.478,0.0,4.0
16.511,0.0,4.0
16.545,0.0,4.0
16.578,0.0,4.0
16.611,0.0,4.0
16.645,0.0,4.0
16.678,0.0,4.0
16.711,0.0,4.0
16.745,0.0,4.0
16.778,0.0,4.0
16.811,0.0,4.0
16.845,0.0,4.0
16.878,0.0,4.0
16.911,0.0,4.0
16.945,0.0,4.0
16.978,0.0,4.0
17.011,0.0,4.0
17.045,0.0,4.0
17.078,0.0,4.0
17.111,0.0,4.0
17.145,0.0,4.0
17.178,0.0,4.0
17.211,0.0,4.0
17.245,0.0,4.0
17.278,0.0,4.0
17.311,0.0,4.0
17.345,0.0,4.0
17.378,0.0,4.0
17.411,0.0,4.0
17.445,0.0,4.0
17.478,0.0,4.0
17.511,0.0,4.0
17.545,0.0,4.0
17.578,0.0,4.0
17.611,0.0,4.0
17.645,0.0,4.0
17.678,0.0,4.0
17.711,0.0,4.0
17.745,0.0,4.0
17.778,0.0,4.0
17.811,0.0,4.0
17.845,0.0,4.0
17.878,0.0,4.0
17.911,0.0,4.0
17.945,0.0,4.0
17.978,0.0,4.0
18.011,0.0,4.0
18.045,0.0,4.0
18.078,0.0,4.0
18.111,0.0,4.0
18.145,0.0,4.0
18.178,0.0,4.0
18.211,0.0,4.0
18.245,0.0,4.0
18.278,0.0,4.0
18.311,0.0,4.0
18.345,0.0,4.0
18.378,0.0,4.0
18.411,0.0,4.0
18.445,0.0,4.0
18.478,0.0,4.0
18.511,0.0,4.0
18.545,0.0,4.0
18.578,0.0,4.0
18.611,0.0,4.0
18.646,0.10000000149011612,4.0
18.678,0.10000000149011612,4.0
18.711,0.10000000149011612,4.0
18.745,0.10000000149011612,4.0
18.778,0.10000000149011612,4.0
18.811,0.10000000149011612,4.0
18.845,0.10000000149011612,4.0
18.878,0.10000000149011612,4.0
18.911,0.10000000149011612,4.0
18.945,0.10000000149011612,4.0
18.978,0.10000000149011612,4.0
19.011,0.10000000149011612,4.0
19.045,0.10000000149011612,4.0
19.078,0.10000000149011612,4.0
19.111,0.10000000149011612,4.0
19.145,0.10000000149011612,4.0
19.178,0.10000000149011612,4.0
19.211,0.10000000149011612,4.0
19.245,0.10000000149011612,4.0
19.278,0.10000000149011612,4.0
19.311,0.10000000149011612,4.0
19.345,0.10000000149011612,4.0
19.378,0.10000000149011612,4.0
19.411,0.10000000149011612,4.0
19.445,0.10000000149011612,4.0
19.478,0.10000000149011612,4.0
19.511,0.10000000149011612,4.0
19.545,0.10000000149011612,4.0
19.578,0.10000000149011612,4.0
19.611,0.10000000149011612,4.0
19.645,0.10000000149011612,4.0
19.678,0.10000000149011612,4.0
19.711,0.10000000149011612,4.0
19.745,0.10000000149011612,4.0
19.778,0.10000000149011612,4.0
19.811,0.10000000149011612,4.0
19.845,0.10000000149011612,4.0
19.878,0.10000000149011612,4.0
19.911,0.10000000149011612,4.0
19.945,0.10000000149011612,4.0
19.978,0.10000000149011612,4.0
20.011,0.10000000149011612,4.0
20.045,0.10000000149011612,4.0
20.078,0.10000000149011612,4.0
20.111,0.10000000149011612,4.0
20.145,0.10000000149011612,4.0
20.178,0.10000000149011612,4.0
20.211,0.10000000149011612,4.0
20.245,0.10000000149011612,4.0
20.278,0.10000000149011612,4.0
20.311,0.10000000149011612,4.0
20.345,0.10000000149011612,4.0
20.378,0.10000000149011612,4.0
20.411,0.10000000149011612,4.0
20.445,0.10000000149011612,4.0
20.478,0.10000000149011612,4.0
20.511,0.10000000149011612,4.0
20.545,0.10000000149011612,4.0
20.578,0.10000000149011612,4.0
20.611,0.10000000149011612,4.0
20.645,0.10000000149011612,4.0
20.678,0.10000000149011612,4.0
20.711,0.10000000149011612,4.0
20.745,0.10000000149011612,4.0
20.778,0.10000000149011612,4.0
20.811,0.10000000149011612,4.0
20.845,0.10000000149011612,4.0
20.878,0.10000000149011612,4.0
20.911,0.10000000149011612,4.0
20.945,0.10000000149011612,4.0
20.978,0.10000000149011612,4.0
21.011,0.10000000149011612,4.0
21.045,0.10000000149011612,4.0
21.078,0.10000000149011612,4.0
21.111,0.10000000149011612,4.0
21.145,0.10000000149011612,4.0
21.178,0.10000000149011612,4.0
21.211,0.10000000149011612,4.0
21.245,0.10000000149011612,4.0
21.278,0.10000000149011612,4.0
21.311,0.10000000149011612,4.0
21.345,0.10000000149011612,4.0
21.378,0.10000000149011612,4.0
21.411,0.10000000149011612,4.0
21.445,0.10000000149011612,4.0
21.478,0.10000000149011612,4.0
21.511,0.10000000149011612,4.0
21.545,0.10000000149011612,4.0
21.578,0.10000000149011612,4.0
21.611,0.10000000149011612,4.0
21.645,0.10000000149011612,4.0
21.678,0.10000000149011612,4.0
21.711,0.10000000149011612,4.0
21.745,0.10000000149011612,4.0
21.778,0.10000000149011612,4.0
21.811,0.10000000149011612,4.0
21.845,0.10000000149011612,4.0
21.878,0.10000000149011612,4.0
21.911,0.10000000149011612,4.0
21.945,0.10000000149011612,4.0
21.978,0.10000000149011612,4.0
22.011,0.10000000149011612,4.0
22.045,0.10000000149011612,4.0
22.078,0.10000000149011612,4.0
22.111,0.10000000149011612,4.0
22.145,0.10000000149011612,4.0
22.178,0.10000000149011612,4.0
22.211,0.10000000149011612,4.0
22.245,0.10000000149011612,4.0
22.278,0.10000000149011612,4.0
22.311,0.10000000149011612,4.0
22.345,0.10000000149011612,4.0
22.378,0.10000000149011612,4.0
22.411,0.10000000149011612,4.0
22.445,0.10000000149011612,4.0
22.478,0.10000000149011612,4.0
22.511,0.10000000149011612,4.0
22.545,0.10000000149011612,4.0
22.578,0.10000000149011612,4.0
22.611,0.10000000149011612,4.0
22.645,0.10000000149011612,4.0
22.678,0.10000000149011612,4.0
22.711,0.10000000149011612,4.0
22.745,0.10000000149011612,4.0
22.778,0.10000000149011612,4.0
22.811,0.10000000149011612,4.0
22.845,0.10000000149011612,4.0
22.878,0.10000000149011612,4.0
22.911,0.10000000149011612,4.0
22.945,0.10000000149011612,4.0
22.978,0.10000000149011612,4.0
23.011,0.10000000149011612,4.0
23.045,0.10000000149011612,4.0
23.078,0.10000000149011612,4.0
23.111,0.10000000149011612,4.0
23.145,0.10000000149011612,4.0
23.178,0.10000000149011612,4.0
23.211,0.10000000149011612,4.0
23.245,0.10000000149011612,4.0
23.278,0.10000000149011612,4.0
23.311,0.10000000149011612,4.0
23.345,0.10000000149011612,4.0
23.378,0.10000000149011612,4.0
23.411,0.10000000149011612,4.0
23.445,0.10000000149011612,4.0
23.478,0.10000000149011612,4.0
23.511,0.10000000149011612,4.0
23.545,0.10000000149011612,4.0
23.578,0.10000000149011612,4.0
23.611,0.10000000149011612,4.0
23.646,-0.0949978455901146,3.377420663833618
23.678,-0.0949978455901146,3.377420663833618
23.711,-0.0949978455901146,3.377420663833618
23.745,-0.0949978455901146,3.377420663833618
23.778,-0.0949978455901146,3.377420663833618
23.811,-0.0949978455901146,3.377420663833618
23.845,-0.0949978455901146,3.377420663833618
23.878,-0.0949978455901146,3.377420663833618
23.911,-0.0949978455901146,3.377420663833618
23.945,-0.0949978455901146,3.377420663833618
23.978,-0.0949978455901146,3.377420663833618
24.011,-0.0949978455901146,3.377420663833618
24.045,-0.0949978455901146,3.377420663833618
24.078,-0.0949978455901146,3.377420663833618
24.111,-0.0949978455901146,3.377420663833618
24.145,-0.0949978455901146,3.377420663833618
24.178,-0.0949978455901146,3.377420663833618
24.211,-0.0949978455901146,3.377420663833618
24.245,-0.0949978455901146,3.377420663833618
24.278,-0.0949978455901146,3.377420663833618
24.311,-0.0949978455901146,3.377420663833618
24.345,-0.0949978455901146,3.377420663833618
24.378,-0.0949978455901146,3.377420663833618
24.411,-0.0949978455901146,3.377420663833618
24.445,-0.0949978455901146,3.377420663833618
24.478,-0.0949978455901146,3.377420663833618
24.511,-0.0949978455901146,3.377420663833618
24.545,-0.0949978455901146,3.377420663833618
24.578,-0.0949978455901146,3.377420663833618
24.611,-0.0949978455901146,3.377420663833618
24.645,-0.0949978455901146,3.377420663833618
24.678,-0.0949978455901146,3.377420663833618
24.711,-0.0949978455901146,3.377420663833618
24.745,-0.0949978455901146,3.377420663833618
24.778,-0.0949978455901146,3.377420663833618
24.811,-0.0949978455901146,3.377420663833618
24.845,-0.0949978455901146,3.377420663833618
24.878,-0.0949978455901146,3.377420663833618
24.911,-0.0949978455901146,3.377420663833618
24.945,-0.0949978455901146,3.377420663833618
24.978,-0.0949978455901146,3.377420663833618
25.011,-0.0949978455901146,3.377420663833618
25.045,-0.0949978455901146,3.377420663833618
25.078,-0.0949978455901146,3.377420663833618
25.111,-0.0949978455901146,3.377420663833618
25.145,-0.0949978455901146,3.377420663833618
25.178,-0.0949978455901146,3.377420663833618
25.211,-0.0949978455901146,3.377420663833618
25.245,-0.0949978455901146,3.377420663833618
25.278,-0.0949978455901146,3.377420663833618
25.311,-0.0949978455901146,3.377420663833618
25.345,-0.0949978455901146,3.377420663833618
25.378,-0.0949978455901146,3.377420663833618
25.411,-0.0949978455901146,3.377420663833618
25.445,-0.0949978455901146,3.377420663833618
25.478,-0.0949978455901146,3.377420663833618
25.511,-0.0949978455901146,3.377420663833618
25.545,-0.0949978455901146,3.377420663833618
25.578,-0.0949978455901146,3.377420663833618
25.611,-0.0949978455901146,3.377420663833618
25.645,-0.0949978455901146,3.377420663833618
25.678,-0.0949978455901146,3.377420663833618
25.711,-0.0949978455901146,3.377420663833618
25.745,-0.0949978455901146,3.377420663833618
25.778,-0.0949978455901146,3.377420663833618
25.811,-0.0949978455901146,3.377420663833618
25.845,-0.0949978455901146,3.377420663833618
25.878,-0.0949978455901146,3.377420663833618
25.911,-0.0949978455901146,3.377420663833618
25.945,-0.0949978455901146,3.377420663833618
25.978,-0.0949978455901146,3.377420663833618
26.011,-0.0949978455901146,3.377420663833618
26.045,-0.0949978455901146,3.377420663833618
26.078,-0.0949978455901146,3.377420663833618
26.111,-0.0949978455901146,3.377420663833618
26.145,-0.0949978455901146,3.377420663833618
26.178,-0.0949978455901146,3.377420663833618
26.211,-0.0949978455901146,3.377420663833618
26.245,-0.0949978455901146,3.377420663833618
26.278,-0.0949978455901146,3.377420663833618
26.311,-0.0949978455901146,3.377420663833618
26.345,-0.0949978455901146,3.377420663833618
26.378,-0.0949978455901146,3.377420663833618
26.411,-0.0949978455901146,3.377420663833618
26.445,-0.0949978455901146,3.377420663833618
26.478,-0.0949978455901146,3.377420663833618
26.511,-0.0949978455901146,3.377420663833618
26.545,-0.0949978455901146,3.377420663833618
26.578,-0.0949978455901146,3.377420663833618
