t,x,y,yaw,v,vy,yaw_rate
10.561,-6.9048784522748e-05,-2.2224739407208241e-13,6.621321827832514e-09,-7.007870205627257e-06,0.0,6.931174020990023e-10
10.58,-6.918894266558309e-05,-2.2317542624258484e-13,6.635184486629209e-09,-7.007907141754393e-06,0.0,6.931329398346835e-10
10.6,-6.932910154713443e-05,-2.2410540627911762e-13,6.649047456187167e-09,-7.0079440775670945e-06,0.0,6.931484778979542e-10
10.62,-6.946926116742424e-05,-2.2503733424586576e-13,6.662910736514984e-09,-7.007981014490692e-06,0.0,6.931640163908945e-10
10.64,-6.960942152648282e-05,-2.259712102070709e-13,6.676774327625166e-09,-7.008017952928599e-06,0.0,6.93179555509025e-10
10.66,-6.974958262430552e-05,-2.2690703422674526e-13,6.6906382295220916e-09,-7.008054891134934e-06,0.0,6.931950948462516e-10
10.68,-6.988974446091268e-05,-2.278448063690692e-13,6.704502442214946e-09,-7.0080918303581764e-06,0.0,6.932106346427775e-10
10.7,-7.002990703630319e-05,-2.28784526698082e-13,6.718366965710796e-09,-7.0081287695252785e-06,0.0,6.932261747924682e-10
10.72,-7.017007035049048e-05,-2.297261952779224e-13,6.732231800018921e-09,-7.008165709364099e-06,0.0,6.932417154062295e-10
10.74,-7.03102344035332e-05,-2.3066981217303617e-13,6.7460969451499646e-09,-7.00820265213624e-06,0.0,6.932572565521756e-10
10.76,-7.045039919538257e-05,-2.3161537744714875e-13,6.759962401108608e-09,-7.008239592468165e-06,0.0,6.932727979321804e-10
10.78,-7.059056472609067e-05,-2.325628911646669e-13,6.7738281679056245e-09,-7.008276535404686e-06,0.0,6.932883398507725e-10
10.8,-7.073073099565468e-05,-2.3351235338962987e-13,6.787694245548686e-09,-7.0083134782006565e-06,0.0,6.933038821531134e-10
10.82,-7.087089800408019e-05,-2.344637641861354e-13,6.801560634044743e-09,-7.008350421275281e-06,0.0,6.933194248028692e-10
10.84,-7.101106575139203e-05,-2.354171236184144e-13,6.81542733340265e-09,-7.008387365592036e-06,0.0,6.933349678953604e-10
10.86,-7.115123423763863e-05,-2.3637243175086116e-13,6.829294343635931e-09,-7.008424312330045e-06,0.0,6.93350511663962e-10
10.88,-7.129140346278092e-05,-2.373296886472773e-13,6.843161664746335e-09,-7.008461257114626e-06,0.0,6.933660555202731e-10
10.9,-7.143157342683321e-05,-2.382888943718288e-13,6.8570292967424586e-09,-7.0084982026145605e-06,0.0,6.933815998061303e-10
10.92,-7.157174412982035e-05,-2.392500489887566e-13,6.8708972396354884e-09,-7.008535149357039e-06,0.0,6.933971446515098e-10
10.94,-7.171191557176773e-05,-2.402131525623085e-13,6.884765493433557e-09,-7.008572097368656e-06,0.0,6.934126899034323e-10
10.96,-7.185208775268953e-05,-2.4117820515665834e-13,6.898634058146024e-09,-7.00860904609049e-06,0.0,6.934282356233241e-10
10.98,-7.199226067258544e-05,-2.4214520683588206e-13,6.9125029337792545e-09,-7.008645994795867e-06,0.0,6.934437816614834e-10
11.0,-7.213243433149853e-05,-2.4311415766435736e-13,6.9263721203439056e-09,-7.008682945654551e-06,0.0,6.934593282325962e-10
11.02,-7.227260872943647e-05,-2.440850577062207e-13,6.940241617848694e-09,-7.008719896897119e-06,0.0,6.934748752394139e-10
11.04,-7.241278386640426e-05,-2.450579070255922e-13,6.954111426302067e-09,-7.008756848389291e-06,0.0,6.934904226686563e-10
11.06,-7.255295974239503e-05,-2.4603270568651154e-13,6.9679815457089665e-09,-7.0087937995386416e-06,0.0,6.935059703449898e-10
11.08,-7.26931363574503e-05,-2.470094537533566e-13,6.981851976082234e-09,-7.008830752763357e-06,0.0,6.935215186633215e-10
11.1,-7.283331371155435e-05,-2.479881512901099e-13,6.9957227174259314e-09,-7.008867705202348e-06,0.0,6.935370671849294e-10
11.12,-7.297349180476986e-05,-2.4896879836130317e-13,7.009593769753442e-09,-7.008904660775755e-06,0.0,6.935526163755369e-10
11.14,-7.311367063701934e-05,-2.4995139503049044e-13,7.0234651330650515e-09,-7.008941612473935e-06,0.0,6.935681655804334e-10
11.16,-7.325385020840913e-05,-2.5093594136251464e-13,7.037336807377681e-09,-7.008978569489557e-06,0.0,6.93583715631462e-10
11.18,-7.339403051889281e-05,-2.5192243742115116e-13,7.051208792693916e-09,-7.009015524184743e-06,0.0,6.935992658117305e-10
11.2,-7.353421156850541e-05,-2.5291088327074855e-13,7.065081089024395e-09,-7.009052480629774e-06,0.0,6.936148165240253e-10
11.22,-7.36743933572979e-05,-2.53901278975772e-13,7.078953696382125e-09,-7.0090894396247375e-06,0.0,6.936303678864448e-10
11.24,-7.381457588520674e-05,-2.5489362459988047e-13,7.092826614766433e-09,-7.009126395441839e-06,0.0,6.936459192154402e-10
11.26,-7.39547591523528e-05,-2.558879202080389e-13,7.106699844196461e-09,-7.009163357302479e-06,0.0,6.936614715014103e-10
11.28,-7.409494315866597e-05,-2.5688416586386354e-13,7.120573384672451e-09,-7.009200315658603e-06,0.0,6.936770237994505e-10
11.3,-7.423512790416898e-05,-2.578823616316294e-13,7.1344472362053826e-09,-7.009237275150836e-06,0.0,6.936925766466399e-10
11.32,-7.437531338886235e-05,-2.588825075754561e-13,7.148321398800153e-09,-7.009274234668452e-06,0.0,6.937081297385145e-10
11.34,-7.451549961281286e-05,-2.5988460375993845e-13,7.162195872471327e-09,-7.00931119752511e-06,0.0,6.937236835586725e-10
