t,steering_angle,speed
14.504,0.0,0.0
14.537,0.0,0.0
14.571,0.0,0.0
14.604,0.0,0.0
14.637,0.0,0.0
14.671,0.0,0.0
14.704,0.0,0.0
14.737,0.0,0.0
14.771,0.0,0.0
14.804,0.0,0.0
14.837,0.0,0.0
14.871,0.0,0.0
14.904,0.0,0.0
14.937,0.0,0.0
14.971,0.0,0.0
15.004,0.0,0.0
15.037,0.0,0.0
15.071,0.0,0.0
15.104,0.0,0.0
15.137,0.0,0.0
15.171,0.0,0.0
15.204,0.0,0.0
15.237,0.0,0.0
15.271,0.0,0.0
15.304,0.0,0.0
15.337,0.0,0.0
15.371,0.0,0.0
15.404,0.0,0.0
15.437,0.0,0.0
15.471,0.0,0.0
15.504,0.0,0.0
15.537,0.0,0.0
15.571,0.0,0.0
15.604,0.0,0.0
15.637,0.0,0.0
15.671,0.0,0.0
15.703,0.0,0.0
15.737,0.0,0.0
15.771,0.0,0.0
15.804,0.0,0.0
15.837,0.0,0.0
15.871,0.0,0.0
15.904,0.0,0.0
15.937,0.0,0.0
15.971,0.0,0.0
16.004,0.0,0.0
16.037,0.0,0.0
16.071,0.0,0.0
16.104,0.0,0.0
16.137,0.0,0.0
16.171,0.0,0.0
16.204,0.0,0.0
16.237,0.0,0.0
16.271,0.0,0.0
16.304,0.0,0.0
16.337,0.0,0.0
16.371,0.0,0.0
16.404,0.0,0.0
16.437,0.0,0.0
16.471,0.0,0.0
16.504,0.0,0.0
16.537,0.0,0.0
16.571,0.0,0.0
16.604,0.0,0.0
16.637,0.0,0.0
16.671,0.0,0.0
16.704,0.0,0.0
16.737,0.0,0.0
16.771,0.0,0.0
16.804,0.0,0.0
16.837,0.0,0.0
16.871,0.0,0.0
16.904,0.0,0.0
16.937,0.0,0.0
16.971,0.0,0.0
17.004,0.0,0.0
17.037,0.0,0.0
17.071,0.0,0.0
17.104,0.0,0.0
17.137,0.0,0.0
17.171,0.0,0.0
17.204,0.0,0.0
17.237,0.0,0.0
17.271,0.0,0.0
17.304,0.0,0.0
17.337,0.0,0.0
17.371,0.0,0.0
17.404,0.0,0.0
17.437,0.0,0.0
17.471,0.0,0.0
17.504,0.0,0.0
17.537,0.0,0.0
17.571,0.0,0.0
17.604,0.0,0.0
17.637,0.0,0.0
17.671,0.0,0.0
17.704,0.0,0.0
17.737,0.0,0.0
17.771,0.0,0.0
17.804,0.0,0.0
17.837,0.0,0.0
17.871,0.0,0.0
17.904,0.0,0.0
17.937,0.0,0.0
17.971,0.0,0.0
18.004,0.0,0.0
18.037,0.0,0.0
18.071,0.0,0.0
18.104,0.0,0.0
18.137,0.0,0.0
18.171,0.0,0.0
18.204,0.0,0.0
18.237,0.0,0.0
18.271,0.0,0.0
18.304,0.0,0.0
18.337,0.0,0.0
18.371,0.0,0.0
18.404,0.0,0.0
18.437,0.0,0.0
18.471,0.0,0.0
18.504,0.0,0.0
18.537,0.0,0.0
18.571,0.0,0.0
18.604,0.0,0.0
18.637,0.0,0.0
18.671,0.0,0.0
18.704,0.0,0.0
18.737,0.0,0.0
18.771,0.0,0.0
18.804,0.0,0.0
18.837,0.0,0.0
18.871,0.0,0.0
18.904,0.0,0.0
18.937,0.0,0.0
18.971,0.0,0.0
19.004,0.0,0.0
19.037,0.0,0.0
19.071,0.0,0.0
19.104,0.0,0.0
19.137,0.0,0.0
19.171,0.0,0.0
19.204,0.0,0.0
19.237,0.0,0.0
19.271,0.0,0.0
19.304,0.0,0.0
19.337,0.0,0.0
19.371,0.0,1.0
19.404,0.0,1.0
19.437,0.0,1.0
19.471,0.0,1.0
19.504,0.0,1.0
19.537,0.0,1.0
19.571,0.0,1.0
19.604,0.0,1.0
19.637,0.0,1.0
19.671,0.0,1.0
19.704,0.0,1.0
19.737,0.0,1.0
19.771,0.0,1.0
19.804,0.0,1.0
19.837,0.0,1.0
19.871,0.0,1.0
19.904,0.0,1.0
19.937,0.0,1.0
19.971,0.0,1.0
20.004,0.0,1.0
20.037,0.0,1.0
20.071,0.0,1.0
20.104,0.0,1.0
20.137,0.0,1.0
20.171,0.0,1.0
20.204,0.0,1.0
20.237,0.0,1.0
20.271,0.0,1.0
20.304,0.0,1.0
20.337,0.0,1.0
20.371,0.0,1.0
20.404,0.0,1.0
20.437,0.0,1.0
20.471,0.0,1.0
20.504,0.0,1.0
20.537,0.0,1.0
20.571,0.0,1.0
20.604,0.0,1.0
20.637,0.0,1.0
20.671,0.0,1.0
20.704,0.0,1.0
20.737,0.0,1.0
20.771,0.0,1.0
20.804,0.0,1.0
20.837,0.0,1.0
20.871,0.0,1.0
20.904,0.0,1.0
20.937,0.0,1.0
20.971,0.0,1.0
21.004,0.0,1.0
21.037,0.0,1.0
21.071,0.0,1.0
21.104,0.0,1.0
21.137,0.0,1.0
21.171,0.0,1.0
21.204,0.0,1.0
21.237,0.0,1.0
21.271,0.0,1.0
21.304,0.0,1.0
21.337,0.0,1.0
21.371,0.0,1.0
21.404,0.0,1.0
21.437,0.0,1.0
21.471,0.0,1.0
21.504,0.0,1.0
21.537,0.0,1.0
21.571,0.0,1.0
21.604,0.0,1.0
21.637,0.0,1.0
21.671,0.0,1.0
21.704,0.0,1.0
21.737,0.0,1.0
21.771,0.0,1.0
21.804,0.0,1.0
21.837,0.0,1.0
21.871,0.0,1.0
21.904,0.0,1.0
21.937,0.0,1.0
21.971,0.0,1.0
22.004,0.0,1.0
22.037,0.0,1.0
22.071,0.0,1.0
22.104,0.0,1.0
22.137,0.0,1.0
22.171,0.0,1.0
22.204,0.0,1.0
22.237,0.0,1.0
22.271,0.0,1.0
22.304,0.0,1.0
22.337,0.0,1.0
22.371,0.0,1.0
22.404,0.0,1.0
22.437,0.0,1.0
22.471,0.0,1.0
22.504,0.0,1.0
22.537,0.0,1.0
22.571,0.0,1.0
22.604,0.0,1.0
22.637,0.0,1.0
22.671,0.0,1.0
22.704,0.0,1.0
22.737,0.0,1.0
22.771,0.0,1.0
22.804,0.0,1.0
22.837,0.0,1.0
22.871,0.0,1.0
22.904,0.0,1.0
22.937,0.0,1.0
22.971,0.0,1.0
23.004,0.0,1.0
23.037,0.0,1.0
23.071,0.0,1.0
23.104,0.0,1.0
23.137,0.0,1.0
23.171,0.0,1.0
23.204,0.0,1.0
23.237,0.0,1.0
23.271,0.0,1.0
23.304,0.0,1.0
23.337,0.0,1.0
23.371,0.0,1.0
23.404,0.0,1.0
23.437,0.0,1.0
23.471,0.0,1.0
23.504,0.0,1.0
23.537,0.0,1.0
23.571,0.0,1.0
23.604,0.0,1.0
23.637,0.0,1.0
23.671,0.0,1.0
23.704,0.0,1.0
23.737,0.0,1.0
23.771,0.0,1.0
23.804,0.0,1.0
23.837,0.0,1.0
23.871,0.0,1.0
23.904,0.0,1.0
23.937,0.0,1.0
23.971,0.0,1.0
24.004,0.0,1.0
24.037,0.0,1.0
24.071,0.0,1.0
24.104,0.0,1.0
24.137,0.0,1.0
24.171,0.0,1.0
24.204,0.0,1.0
24.237,0.0,1.0
24.271,0.0,1.0
24.304,0.0,1.0
24.337,0.0,1.0
24.371,0.0,1.0
24.404,0.0,1.0
24.437,0.0,1.0
24.471,0.0,1.0
24.504,0.0,1.0
24.537,0.0,1.0
24.571,0.0,1.0
24.604,0.0,1.0
24.637,0.0,1.0
24.671,0.0,1.0
24.704,0.0,1.0
24.737,0.0,1.0
24.771,0.0,1.0
24.804,0.0,1.0
24.837,0.0,1.0
24.871,0.0,1.0
24.904,0.0,1.0
24.937,0.0,1.0
24.971,0.0,1.0
25.004,0.0,1.0
25.037,0.0,1.0
25.071,0.0,1.0
25.104,0.0,1.0
25.137,0.0,1.0
25.171,0.0,1.0
25.204,0.0,1.0
25.237,0.0,1.0
25.271,0.0,1.0
25.304,0.0,1.0
25.337,0.0,1.0
25.371,0.0,1.0
25.404,0.0,1.0
