t,x,y,yaw,v,vy,yaw_rate
11.502,-0.00013654809123898803,-1.2654331805838106e-12,1.8824249345340008e-08,-1.2680252908283114e-05,0.0,1.7817029241483395e-09
11.52,-0.0001368016983201258,-1.2702071435148922e-12,1.8859884579734728e-08,-1.2680354056889256e-05,0.0,1.7817617197357845e-09
11.54,-0.00013705530742423602,-1.2749901819467806e-12,1.8895520990024492e-08,-1.2680455205510534e-05,0.0,1.7818205144880237e-09
11.56,-0.00013730891855136886,-1.2797822963228229e-12,1.8931158576206646e-08,-1.2680556356641586e-05,0.0,1.7818793091075245e-09
11.58,-0.00013756253170143595,-1.2845834870837544e-12,1.896679733825062e-08,-1.2680657503354892e-05,0.0,1.7819381021984502e-09
11.6,-0.00013781614687442985,-1.289393754671835e-12,1.9002437276147058e-08,-1.2680758649695019e-05,0.0,1.7819968948218358e-09
11.62,-0.00013806976407041013,-1.2942130995306026e-12,1.9038078389887588e-08,-1.2680859799013845e-05,0.0,1.7820556870263357e-09
11.64,-0.0001383233832892314,-1.2990415220997042e-12,1.9073720679437843e-08,-1.2680960941063787e-05,0.0,1.7821144775125912e-09
11.66,-0.000138577004530923,-1.3038790228221022e-12,1.910936414478942e-08,-1.2681062084580574e-05,0.0,1.7821732675785888e-09
11.68,-0.00013883062779556187,-1.3087256021416765e-12,1.914500878593778e-08,-1.2681163231943274e-05,0.0,1.782232057417881e-09
11.7,-0.0001390842530830456,-1.3135812604988888e-12,1.91806546028546e-08,-1.2681264374187004e-05,0.0,1.7822908458408975e-09
11.72,-0.00013933788039342622,-1.31844599833715e-12,1.9216301595537475e-08,-1.2681365519030238e-05,0.0,1.7823496341435586e-09
11.74,-0.00013959150972671721,-1.3233198160991448e-12,1.925194976397155e-08,-1.268146666454942e-05,0.0,1.782408421703522e-09
11.76,-0.00013984514108280274,-1.3282027142250711e-12,1.9287599108128006e-08,-1.268156780427584e-05,0.0,1.7824672078227342e-09
11.78,-0.00014009877446172,-1.3330946931580673e-12,1.932324962799814e-08,-1.2681668945863483e-05,0.0,1.7825259935065425e-09
11.8,-0.0001403524098634792,-1.3379957533407576e-12,1.9358901323569438e-08,-1.268177008795946e-05,0.0,1.7825847785647675e-09
11.82,-0.0001406060472880202,-1.3429058952144108e-12,1.9394554194819506e-08,-1.2681871227049123e-05,0.0,1.7826435625033398e-09
11.84,-0.0001408596867352981,-1.3478251192205861e-12,1.9430208241730914e-08,-1.2681972363894851e-05,0.0,1.7827023455701595e-09
11.86,-0.00014111332820544736,-1.3527534258043251e-12,1.9465863464307204e-08,-1.2682073507463137e-05,0.0,1.7827611288144236e-09
11.88,-0.00014136697169840864,-1.3576908154069192e-12,1.9501519862524687e-08,-1.2682174648063533e-05,0.0,1.7828199108739143e-09
11.9,-0.00014162061721410702,-1.3626372884693517e-12,1.953717743636311e-08,-1.2682275784919368e-05,0.0,1.7828786919209846e-09
11.92,-0.00014187426475254744,-1.367592845434159e-12,1.957283618580922e-08,-1.2682376922021052e-05,0.0,1.7829374723053492e-09
