t,cte
0.000000,1.760105
0.034000,1.760105
0.068000,1.760108
0.102000,1.760105
0.136000,1.760105
0.170000,1.760106
0.204000,1.760105
0.238000,1.760106
0.272000,1.760106
0.306000,1.760106
0.340000,1.760106
0.374000,1.760106
0.408000,1.760106
0.442000,1.760106
0.476000,1.760106
0.510000,1.760106
0.544000,1.760106
0.578000,1.760106
0.612000,1.760106
0.646000,1.760106
0.680000,1.760106
0.714000,1.760105
0.748000,1.760105
0.782000,1.760105
0.816000,1.760107
0.850000,1.760124
0.884000,1.760157
0.918000,1.760205
0.952000,1.760268
0.986000,1.760341
1.020000,1.760425
1.054000,1.760518
1.088000,1.760618
1.122000,1.760724
1.156000,1.760835
1.190000,1.760939
1.224000,1.761006
1.258000,1.761009
1.292000,1.760916
1.326000,1.760687
1.360000,1.760258
1.394000,1.759538
1.428000,1.758444
1.462000,1.756874
1.496000,1.754690
1.530000,1.751752
1.564000,1.747920
1.598000,1.743044
1.632000,1.736977
1.666000,1.729575
1.700000,1.720784
1.734000,1.710475
1.768000,1.698536
1.802000,1.684860
1.836000,1.669343
1.870000,1.651948
1.904000,1.632610
1.938000,1.611287
1.972000,1.588016
2.006000,1.562808
2.040000,1.535740
2.074000,1.506801
2.108000,1.480838
2.142000,1.467304
2.176000,1.467605
2.210000,1.482610
2.244000,1.512720
2.278000,1.526997
2.312000,1.488588
2.346000,1.449728
2.380000,1.410439
2.414000,1.370694
2.448000,1.330524
2.482000,1.289838
2.516000,1.248615
2.550000,1.206940
2.584000,1.165104
2.618000,1.123564
2.652000,1.082267
2.686000,1.041336
2.720000,1.000831
2.754000,0.960876
2.788000,0.921686
2.822000,0.883082
2.856000,0.845116
2.890000,0.807720
2.924000,0.770869
2.958000,0.734570
2.992000,0.698826
3.026000,0.663599
3.060000,0.628888
3.094000,0.594709
3.128000,0.561074
3.162000,0.527990
3.196000,0.495463
3.230000,0.463497
3.264000,0.432092
3.298000,0.401370
3.332000,0.371874
3.366000,0.344033
3.400000,0.318268
3.434000,0.295045
3.468000,0.274450
3.502000,0.256261
3.536000,0.240225
3.570000,0.226004
3.604000,0.213327
3.638000,0.201916
3.672000,0.191525
3.706000,0.181945
3.740000,0.172991
3.774000,0.164358
3.808000,0.155821
3.842000,0.147255
3.876000,0.138530
3.910000,0.129650
3.944000,0.120634
3.978000,0.111498
4.012000,0.102254
4.046000,0.092917
4.080000,0.083580
4.114000,0.074331
4.148000,0.065181
4.182000,0.056228
4.216000,0.047813
4.250000,0.040096
4.284000,0.033220
4.318000,0.027353
4.352000,0.022573
4.386000,0.018966
4.420000,0.016522
4.454000,0.015233
4.488000,0.014997
4.522000,0.015517
4.556000,0.016558
4.590000,0.018031
4.624000,0.019762
4.658000,0.021652
4.692000,0.023585
4.726000,0.025474
4.760000,0.027295
4.794000,0.028992
4.828000,0.030557
4.862000,0.031958
