t,steering_angle,speed
24.398,0.0,0.0
24.431,0.0,0.0
24.464,0.0,0.0
24.498,0.0,0.0
24.531,0.0,0.0
24.564,0.0,0.0
24.598,0.0,0.0
24.631,0.0,0.0
24.664,0.0,0.0
24.698,0.0,0.0
24.731,0.0,0.0
24.764,0.0,0.0
24.798000000000002,0.0,0.0
24.831,0.0,0.0
24.864,0.0,0.0
24.898,0.0,0.0
24.931,0.0,0.0
24.964,0.0,0.0
24.998,0.0,0.0
25.031,0.0,0.0
25.064,0.0,0.0
25.098,0.0,0.0
25.131,0.0,0.0
25.164,0.0,0.0
25.198,0.0,0.0
25.231,0.0,0.0
25.264,0.0,0.0
25.298,0.0,0.0
25.331,0.0,0.0
25.364,0.0,0.0
25.398,0.0,0.0
25.431,0.0,0.0
25.464,0.0,0.0
25.498,0.0,0.0
25.531,0.0,0.0
25.564,0.0,0.0
25.598,0.0,0.0
25.631,0.0,0.0
25.664,0.0,0.0
25.698,0.0,0.0
25.731,0.0,0.0
25.764,0.0,0.0
25.798000000000002,0.0,0.0
25.831,0.0,0.0
25.864,0.0,0.0
25.898,0.0,0.0
25.931,0.0,0.0
25.964,0.0,0.0
25.998,0.0,0.0
26.031,0.0,0.0
26.064,0.0,0.0
26.098,0.0,0.0
26.131,0.0,0.0
26.164,0.0,0.0
26.198,0.0,0.0
26.231,0.0,0.0
26.264,0.0,0.0
26.298,0.0,0.0
26.331,0.0,0.0
26.364,0.0,0.0
26.398,0.0,0.0
26.431,0.0,0.0
26.464,0.0,0.0
26.498,0.0,0.0
26.531,0.0,0.0
26.564,0.0,0.0
26.598,0.0,0.0
26.631,0.0,0.0
26.664,0.0,0.0
26.698,0.0,0.0
26.731,0.0,0.0
26.764,0.0,0.0
26.798000000000002,0.0,0.0
26.831,0.0,0.0
26.864,0.0,0.0
26.898,0.0,0.0
26.931,0.0,0.0
26.964,0.0,0.0
26.998,0.0,0.0
27.031,0.0,0.0
27.064,0.0,0.0
27.098,0.0,0.0
27.131,0.0,0.0
27.164,0.0,0.0
27.198,0.0,0.0
27.231,0.0,0.0
27.264,0.0,0.0
27.298,0.0,0.0
27.331,0.0,0.0
27.364,0.0,0.0
27.398,0.0,0.0
27.431,0.0,0.0
27.464,0.0,0.0
27.498,0.0,0.0
27.531,0.0,0.0
27.564,0.0,0.0
27.598,0.0,0.0
27.631,0.0,0.0
27.664,0.0,0.0
27.698,0.0,0.0
27.731,0.0,0.0
27.764,0.0,0.0
27.798000000000002,0.0,0.0
27.831,0.0,0.0
27.864,0.0,0.0
27.898,0.0,0.0
27.931,0.0,0.0
27.964,0.0,0.0
27.998,0.0,0.0
28.031,0.0,0.0
28.064,0.0,0.0
28.098,0.0,0.0
28.131,0.0,0.0
28.164,0.0,0.0
28.198,0.0,0.0
28.231,0.0,0.0
28.264,0.0,0.0
28.298,0.0,0.0
28.331,0.0,0.0
28.364,0.0,0.0
28.398,0.0,0.0
28.431,0.0,0.0
28.464,0.0,0.0
28.498,0.0,0.0
28.531,0.0,0.0
28.564,0.0,0.0
28.598,0.0,0.0
28.631,0.0,0.0
28.664,0.0,0.0
28.698,0.0,0.0
28.731,0.0,0.0
28.764,0.0,0.0
28.798000000000002,0.0,0.0
28.831,0.0,0.0
28.864,0.0,0.0
28.898,0.0,0.0
28.931,0.0,0.0
28.964,0.0,0.0
28.998,0.0,0.0
29.031,0.0,0.0
29.064,0.0,0.0
29.098,0.0,0.0
29.131,0.0,0.0
29.164,0.0,0.0
29.198,0.0,4.0
29.231,0.0,4.0
29.264,0.0,4.0
29.298,0.0,4.0
29.331,0.0,4.0
29.364,0.0,4.0
29.398,0.0,4.0
29.431,0.0,4.0
29.464,0.0,4.0
29.498,0.0,4.0
29.531,0.0,4.0
29.564,0.0,4.0
29.598,0.0,4.0
29.631,0.0,4.0
29.664,0.0,4.0
29.698,0.0,4.0
29.731,0.0,4.0
29.764,0.0,4.0
29.798000000000002,0.0,4.0
29.831,0.0,4.0
29.864,0.0,4.0
29.898,0.0,4.0
29.931,0.0,4.0
29.964,0.0,4.0
29.998,0.0,4.0
30.031,0.0,4.0
30.064,0.0,4.0
30.098,0.0,4.0
30.131,0.0,4.0
30.164,0.0,4.0
30.198,0.0,4.0
30.231,0.0,4.0
30.264,0.0,4.0
30.298,0.0,4.0
30.331,0.0,4.0
30.364,0.0,4.0
30.398,0.0,4.0
30.431,0.0,4.0
30.464,0.0,4.0
30.498,0.0,4.0
30.531,0.0,4.0
30.564,0.0,4.0
30.598,0.0,4.0
30.631,0.0,4.0
30.664,0.0,4.0
30.698,0.0,4.0
30.731,0.0,4.0
30.764,0.0,4.0
30.798000000000002,0.0,4.0
30.831,0.0,4.0
30.864,0.0,4.0
30.898,0.0,4.0
30.931,0.0,4.0
30.964,0.0,4.0
30.998,0.0,4.0
31.031,0.0,4.0
31.064,0.0,4.0
31.098,0.0,4.0
31.131,0.0,4.0
31.164,0.0,4.0
31.198,0.0,4.0
31.231,0.0,4.0
31.264,0.0,4.0
31.298,0.0,4.0
31.331,0.0,4.0
31.364,0.0,4.0
31.398,0.0,4.0
31.431,0.0,4.0
31.464,0.0,4.0
31.498,0.0,4.0
31.531,0.0,4.0
31.564,0.0,4.0
31.598,0.0,4.0
