t,steering_angle,speed
11.896,0.0,4.0
11.929,0.0,4.0
11.962,0.0,4.0
11.996,0.0,4.0
12.029,0.0,4.0
12.062,0.0,4.0
12.096,0.0,4.0
12.129,0.0,4.0
12.162,0.0,4.0
12.196,0.0,4.0
12.229,0.0,4.0
12.262,0.0,4.0
12.296,0.0,4.0
12.329,0.0,4.0
12.362,0.0,4.0
12.396,0.0,4.0
12.429,0.0,4.0
12.462,0.0,4.0
12.496,0.0,4.0
12.529,0.0,4.0
12.562,0.0,4.0
12.596,0.0,4.0
12.629,0.0,4.0
12.662,0.0,4.0
12.696,0.0,4.0
12.729,0.0,4.0
12.762,0.0,4.0
12.796,0.0,4.0
12.829,0.0,4.0
12.862,0.0,4.0
12.896,0.0,4.0
12.929,0.0,4.0
12.962,0.0,4.0
12.996,0.0,4.0
13.029,0.0,4.0
13.062,0.0,4.0
13.096,0.0,4.0
13.129,0.0,4.0
13.162,0.0,4.0
13.196,0.0,4.0
13.229,0.0,4.0
13.262,0.0,4.0
13.296,0.0,4.0
13.329,0.0,4.0
13.362,0.0,4.0
13.396,0.0,4.0
13.429,0.0,4.0
13.462,0.0,4.0
13.496,0.0,4.0
13.529,0.0,4.0
13.562,0.0,4.0
13.596,0.0,4.0
13.629,0.0,4.0
13.662,0.0,4.0
13.696,0.0,4.0
13.729,0.0,4.0
13.762,0.0,4.0
13.796,0.0,4.0
13.829,0.0,4.0
13.862,0.0,4.0
13.896,0.0,4.0
13.929,0.0,4.0
13.962,0.0,4.0
13.996,0.0,4.0
14.029,0.0,4.0
14.062,0.0,4.0
14.096,0.0,4.0
14.129,0.0,4.0
14.162,0.0,4.0
14.196,0.0,4.0
14.229,0.0,4.0
14.262,0.0,4.0
14.296,0.0,4.0
14.329,0.0,4.0
14.362,0.0,4.0
14.396,0.0,4.0
14.429,0.0,4.0
14.462,0.0,4.0
14.496,0.0,4.0
14.529,0.0,4.0
14.562,0.0,4.0
14.596,0.0,4.0
14.629,0.0,4.0
14.662,0.0,4.0
14.696,0.0,4.0
14.729,0.0,4.0
14.762,0.0,4.0
14.796,0.0,4.0
14.829,0.0,4.0
14.862,0.0,4.0
14.896,0.0,4.0
14.929,0.0,4.0
14.962,0.0,4.0
14.996,0.0,4.0
15.029,0.0,4.0
15.062,0.0,4.0
