x,y,yaw,aux1,aux2
34.597002, -93.948582, -0.718370, 0.432404, 0.574538
34.611618, -93.961363, -0.718836, 0.428336, 0.569744
34.626106, -93.974048, -0.719471, 0.424826, 0.565396
34.640487, -93.986658, -0.720219, 0.422416, 0.562420
34.654718, -93.999122, -0.719845, 0.414268, 0.555927
34.668749, -94.011487, -0.719452, 0.410669, 0.549590
34.682589, -94.023620, -0.718292, 0.402960, 0.537359
34.696177, -94.035450, -0.716321, 0.396993, 0.527585
34.709622, -94.047060, -0.715411, 0.395022, 0.523171
34.723068, -94.058681, -0.716661, 0.400301, 0.525472
34.736733, -94.070661, -0.716763, 0.400570, 0.531631
34.750377, -94.082541, -0.716703, 0.402418, 0.534775
34.764097, -94.094509, -0.717004, 0.405946, 0.538117
34.777881, -94.106520, -0.717183, 0.406042, 0.539140
34.791660, -94.118543, -0.717501, 0.405772, 0.538428
34.805396, -94.130532, -0.717730, 0.403915, 0.536132
34.819075, -94.142479, -0.718086, 0.402742, 0.534588
34.832722, -94.154408, -0.718548, 0.402240, 0.534167
34.846363, -94.166343, -0.719032, 0.402753, 0.535003
34.860027, -94.178309, -0.719245, 0.403806, 0.536421
34.873734, -94.190312, -0.719293, 0.404917, 0.538139
34.887491, -94.202362, -0.719369, 0.406629, 0.540309
34.901309, -94.214467, -0.719445, 0.408537, 0.542980
34.914994, -94.226462, -0.718764, 0.396282, 0.529777
34.928398, -94.238318, -0.718046, 0.399086, 0.529276
34.941903, -94.250150, -0.718543, 0.401823, 0.531721
34.955559, -94.262064, -0.718431, 0.407426, 0.538853
34.969478, -94.274157, -0.718445, 0.414351, 0.548324
34.983655, -94.286426, -0.718429, 0.418237, 0.557162
34.997466, -94.298672, -0.718486, 0.414097, 0.549012
35.011412, -94.310903, -0.718306, 0.406738, 0.540113
35.025184, -94.322858, -0.718417, 0.403688, 0.536987
35.038895, -94.334806, -0.718403, 0.404247, 0.538782
35.052695, -94.346885, -0.718403, 0.407873, 0.544673
35.066681, -94.359179, -0.718405, 0.414204, 0.553638
35.080901, -94.371730, -0.718393, 0.423466, 0.563449
35.095136, -94.384033, -0.718303, 0.418194, 0.559606
35.109534, -94.396621, -0.718446, 0.427429, 0.567441
35.124117, -94.409368, -0.718345, 0.432016, 0.574048
35.138867, -94.422263, -0.718400, 0.437071, 0.580534
35.153782, -94.435302, -0.718371, 0.441784, 0.586898
35.168858, -94.448482, -0.718386, 0.446517, 0.593140
35.184093, -94.461800, -0.718379, 0.451116, 0.599264
35.199482, -94.475253, -0.718382, 0.455646, 0.605272
35.215025, -94.488840, -0.718381, 0.460084, 0.611164
35.230716, -94.502558, -0.718381, 0.464430, 0.616944
35.246554, -94.516404, -0.718381, 0.468700, 0.622613
35.262543, -94.530381, -0.718381, 0.474057, 0.629729
35.278759, -94.544557, -0.718381, 0.481290, 0.639336
35.295219, -94.558947, -0.718381, 0.488395, 0.648772
35.311918, -94.573545, -0.718381, 0.495370, 0.658031
35.328851, -94.588348, -0.718381, 0.502207, 0.667116
35.346015, -94.603353, -0.718381, 0.508919, 0.676032
35.363405, -94.618556, -0.718381, 0.515505, 0.684779
35.381017, -94.633952, -0.718381, 0.521968, 0.693362
35.398847, -94.649539, -0.718381, 0.528313, 0.701784
35.416890, -94.665313, -0.718381, 0.534530, 0.710047
35.435143, -94.681269, -0.718381, 0.540638, 0.718154
35.453601, -94.697406, -0.718381, 0.546623, 0.726107
35.472261, -94.713718, -0.718381, 0.552500, 0.733910
35.491119, -94.730204, -0.718381, 0.558262, 0.741565
35.510171, -94.746859, -0.718381, 0.563915, 0.749074
35.529413, -94.763681, -0.718381, 0.569465, 0.756441
35.548842, -94.780666, -0.718381, 0.574905, 0.763668
35.568454, -94.797811, -0.718381, 0.580240, 0.770756
35.588246, -94.815113, -0.718381, 0.585475, 0.777709
35.608215, -94.832570, -0.718381, 0.590613, 0.784529
35.628356, -94.850177, -0.718381, 0.595646, 0.791219
35.648667, -94.867933, -0.718381, 0.600587, 0.797779
35.669144, -94.885834, -0.718381, 0.605433, 0.804214
35.689784, -94.903878, -0.718381, 0.610182, 0.810525
35.710622, -94.922095, -0.718381, 0.617491, 0.820228
35.731722, -94.940541, -0.718381, 0.625165, 0.830424
35.753081, -94.959213, -0.718381, 0.632696, 0.840429
35.774693, -94.978106, -0.718381, 0.640087, 0.850245
35.796471, -94.997119, -0.718322, 0.636209, 0.844289
35.818203, -95.016011, -0.718396, 0.640950, 0.851857
35.840159, -95.035207, -0.718480, 0.650845, 0.867306
35.862500, -95.054893, -0.718450, 0.661765, 0.884820
35.885121, -95.074565, -0.718358, 0.645511, 0.887069
35.907577, -95.094411, -0.718430, 0.666757, 0.887622
35.930327, -95.114215, -0.718418, 0.672267, 0.890031
35.953312, -95.134225, -0.718215, 0.687283, 0.905040
35.976097, -95.154065, -0.718477, 0.659731, 0.879520
35.998610, -95.173880, -0.718573, 0.668257, 0.889107
36.021586, -95.193963, -0.718483, 0.695358, 0.913865
36.045263, -95.214513, -0.718419, 0.693043, 0.920577
36.068618, -95.234960, -0.718489, 0.694488, 0.922424
36.092305, -95.255674, -0.718549, 0.700301, 0.930552
36.116194, -95.276570, -0.718594, 0.706476, 0.938440
36.140285, -95.297637, -0.718609, 0.712105, 0.946171
36.164570, -95.318880, -0.718638, 0.717971, 0.953837
36.189052, -95.340292, -0.718638, 0.723641, 0.961462
36.213728, -95.361876, -0.718644, 0.729376, 0.969048
36.238597, -95.383628, -0.718640, 0.734996, 0.976507
36.263655, -95.405545, -0.718643, 0.740482, 0.983821
36.288898, -95.427625, -0.718642, 0.745902, 0.990994
36.314331, -95.449870, -0.718643, 0.752365, 0.999582
36.340027, -95.472345, -0.718642, 0.760673, 1.010633
36.366004, -95.495066, -0.718643, 0.768853, 1.021482
36.392256, -95.518028, -0.718643, 0.776855, 1.032127
36.418777, -95.541226, -0.718643, 0.784720, 1.042570
36.445563, -95.564655, -0.718643, 0.792435, 1.052814
36.472609, -95.588311, -0.718643, 0.799987, 1.062865
36.499910, -95.612190, -0.718644, 0.807416, 1.072723
36.527461, -95.636288, -0.718644, 0.814689, 1.082395
36.555256, -95.660600, -0.718644, 0.821839, 1.091881
36.583292, -95.685122, -0.718644, 0.828846, 1.101187
36.611564, -95.709851, -0.718645, 0.835709, 1.110314
36.640068, -95.734782, -0.718645, 0.842449, 1.119266
36.668798, -95.759911, -0.718645, 0.849062, 1.128047
36.697751, -95.785236, -0.718646, 0.855543, 1.136659
36.726922, -95.810751, -0.718646, 0.861870, 1.145102
36.756307, -95.836453, -0.718646, 0.868100, 1.153379
36.785901, -95.862339, -0.718646, 0.874236, 1.161492
36.815701, -95.888404, -0.718646, 0.880215, 1.169440
36.845703, -95.914646, -0.718647, 0.886063, 1.177222
36.875960, -95.941117, -0.718795, 0.896153, 1.186299
36.906124, -95.967484, -0.719356, 0.888126, 1.178820
36.936081, -95.993807, -0.719464, 0.879553, 1.175399
36.966583, -96.020505, -0.719465, 0.897577, 1.193831
36.997138, -96.047305, -0.720183, 0.901884, 1.199073
37.027803, -96.074203, -0.720163, 0.903635, 1.202450
37.058572, -96.101218, -0.720080, 0.909313, 1.214851
37.089468, -96.128311, -0.719014, 0.905255, 1.207269
37.120199, -96.155136, -0.718426, 0.902075, 1.197157
37.150994, -96.182101, -0.719412, 0.919358, 1.217421
37.182025, -96.209271, -0.718258, 0.898986, 1.203650
37.212971, -96.236489, -0.719410, 0.910832, 1.213234
37.244319, -96.263850, -0.719196, 0.932625, 1.235447
37.275659, -96.291058, -0.717312, 0.921905, 1.218843
37.307166, -96.318502, -0.717013, 0.934580, 1.242949
37.338990, -96.346379, -0.716944, 0.942669, 1.248401
37.370983, -96.374240, -0.716825, 0.947930, 1.256780
37.403352, -96.402441, -0.716614, 0.958028, 1.270661
37.436080, -96.430949, -0.716594, 0.968474, 1.284448
37.469159, -96.459762, -0.716563, 0.978835, 1.298105
37.502587, -96.488879, -0.716590, 0.988978, 1.311595
37.536357, -96.518295, -0.716624, 0.998936, 1.324859
37.570466, -96.548009, -0.716671, 1.009422, 1.338795
37.604977, -96.578076, -0.716720, 1.022093, 1.355650
37.639913, -96.608517, -0.716766, 1.034475, 1.372133
37.675267, -96.639324, -0.716808, 1.046578, 1.388237
37.711027, -96.670488, -0.716843, 1.058409, 1.403975
37.747185, -96.702000, -0.716873, 1.069979, 1.419358
37.783738, -96.733859, -0.716898, 1.082372, 1.435831
37.820755, -96.766124, -0.716921, 1.096564, 1.454685
37.858250, -96.798806, -0.716940, 1.110457, 1.473140
37.896212, -96.831897, -0.716957, 1.124053, 1.491198
37.934632, -96.865388, -0.716972, 1.137359, 1.508868
37.973499, -96.899270, -0.716983, 1.150381, 1.526160
38.012815, -96.933544, -0.716993, 1.164579, 1.545004
38.052652, -96.968272, -0.717000, 1.180175, 1.565709
38.093013, -97.003458, -0.717006, 1.195452, 1.585981
38.133888, -97.039093, -0.717008, 1.210407, 1.605824
38.175342, -97.075248, -0.717007, 1.221867, 1.625961
38.216643, -97.111034, -0.716280, 1.223793, 1.619968
38.258221, -97.147359, -0.716546, 1.229642, 1.628004
38.300319, -97.184161, -0.715551, 1.253452, 1.660070
38.343139, -97.221371, -0.715499, 1.266942, 1.678871
38.386222, -97.258919, -0.715607, 1.264016, 1.677078
38.429812, -97.296870, -0.717100, 1.296907, 1.717741
38.473935, -97.335205, -0.716298, 1.306550, 1.726121
38.518470, -97.373931, -0.716345, 1.318389, 1.748615
38.563524, -97.413166, -0.716343, 1.333099, 1.767260
38.609073, -97.452805, -0.716020, 1.347068, 1.785989
38.655113, -97.492862, -0.716075, 1.361516, 1.805058
38.701636, -97.533347, -0.716084, 1.375880, 1.824002
38.748645, -97.574250, -0.716099, 1.389985, 1.842830
38.796127, -97.615575, -0.716207, 1.404168, 1.861559
38.844079, -97.657313, -0.716244, 1.417984, 1.879935
38.892495, -97.699458, -0.716287, 1.431458, 1.897884
